Date,Location,,,BRAND_CODE,BRAND_DESC_LOC,,,,,,EXP,,,CF_QTY1_LARGE,,WEIGHT,,,,,,
20/6/2569,1BIGWH,,99300530,1000518J0130,อาหารวัวนม 005-18J 30 กก.,30,,,,06/06/2569 0:00:00:AM,06/09/2569 0:00:00:AM,84.78,78,834,,"25,020.00",,,,,,15727
20/6/2569,1BIGWH,,99300597,1000518J0130,อาหารวัวนม 005-18J 30 กก.,30,,,,07/06/2569 0:00:00:AM,07/09/2569 0:00:00:AM,85.87,79,300,,"9,000.00",,,,,,15758
20/6/2569,1BIGWH,,99301322,1000518J0130,อาหารวัวนม 005-18J 30 กก.,30,,,,10/06/2569 0:00:00:AM,10/09/2569 0:00:00:AM,89.13,82,100,,"3,000.00",,,,,,15792
20/6/2569,1BIGWH,,99301336,1000518J0130,อาหารวัวนม 005-18J 30 กก.,30,,,,10/06/2569 0:00:00:AM,10/09/2569 0:00:00:AM,89.13,82,60,,"1,800.00",,,,,,15792
20/6/2569,1BIGWH,,99301345,1000518J0130,อาหารวัวนม 005-18J 30 กก.,30,,,,10/06/2569 0:00:00:AM,10/09/2569 0:00:00:AM,89.13,82,160,,"4,800.00",,,,,,15792
20/6/2569,1BIGWH,,99301357,1000518J0130,อาหารวัวนม 005-18J 30 กก.,30,,,,11/06/2569 0:00:00:AM,11/09/2569 0:00:00:AM,90.22,83,10,,300,,,,,,15793
20/6/2569,1BIGWH,,99301374,1000518J0130,อาหารวัวนม 005-18J 30 กก.,30,,,,12/06/2569 0:00:00:AM,12/09/2569 0:00:00:AM,91.3,84,270,,"8,100.00",,,,,,15863
20/6/2569,1BIGWH,,99301323,10005DS00110,อาหารวัวพักการรีดนม 005-DS 10 กก.,10,,,,10/06/2569 0:00:00:AM,10/09/2569 0:00:00:AM,89.13,82,15,,150,,,,,,15792
20/6/2569,1BIGWH,,99301359,10005DS00110,อาหารวัวพักการรีดนม 005-DS 10 กก.,10,,,,11/06/2569 0:00:00:AM,11/09/2569 0:00:00:AM,90.22,83,10,,100,,,,,,15793
20/6/2569,1BIGWH,,99301375,10005DS00110,อาหารวัวพักการรีดนม 005-DS 10 กก.,10,,,,12/06/2569 0:00:00:AM,12/09/2569 0:00:00:AM,91.3,84,2,,20,,,,,,15863
20/6/2569,1BIGWH,,99300283,100190000105,ไก่ชน # 19 5 กก.,5,,,,01/06/2569 0:00:00:AM,01/09/2569 0:00:00:AM,79.35,73,52,,260,,,,,,15709
20/6/2569,1BIGWH,,99300284,100200000103,อาหารไก่ชน ซีพี. #2 3กก.,3,,,,01/06/2569 0:00:00:AM,01/09/2569 0:00:00:AM,79.35,73,20,,60,,,,,,15709
20/6/2569,1BIGWH,,99298471,100200000105,ไก่ชน # 20 5 กก.,5,,,,18/05/2569 0:00:00:AM,18/08/2569 0:00:00:AM,64.13,59,11,,55,,,,,,15535
20/6/2569,1BIGWH,,99300285,100200000105,ไก่ชน # 20 5 กก.,5,,,,01/06/2569 0:00:00:AM,01/09/2569 0:00:00:AM,79.35,73,100,,500,,,,,,15709
20/6/2569,1BIGWH,,99300286,100300000103,อาหารไก่ชน ซีพี. #3 3กก.,3,,,,01/06/2569 0:00:00:AM,01/09/2569 0:00:00:AM,79.35,73,25,,75,,,,,,15709
20/6/2569,1BIGWH,,99292108,100400000103,อาหารไก่ชน ซีพี.#4 3กก.,3,,,17/6/2569,12/05/2569 0:00:00:AM,12/08/2569 0:00:00:AM,57.61,53,5,,15,,,,,,15867
20/6/2569,1BIGWH,,99300599,100516X00130,อาหารวัวนม 005-16X 30 กก.,30,,,,07/06/2569 0:00:00:AM,07/09/2569 0:00:00:AM,85.87,79,73,,"2,190.00",,,,,,15758
20/6/2569,1BIGWH,,99301297,100516X00130,อาหารวัวนม 005-16X 30 กก.,30,,,,12/06/2569 0:00:00:AM,12/09/2569 0:00:00:AM,91.3,84,200,,"6,000.00",,,,,,15863
20/6/2569,1BIGWH,,99301324,100516X00130,อาหารวัวนม 005-16X 30 กก.,30,,,,10/06/2569 0:00:00:AM,10/09/2569 0:00:00:AM,89.13,82,50,,"1,500.00",,,,,,15792
20/6/2569,1BIGWH,,99301337,100516X00130,อาหารวัวนม 005-16X 30 กก.,30,,,,10/06/2569 0:00:00:AM,10/09/2569 0:00:00:AM,89.13,82,30,,900,,,,,,15792
20/6/2569,1BIGWH,,99301360,100516X00130,อาหารวัวนม 005-16X 30 กก.,30,,,,11/06/2569 0:00:00:AM,11/09/2569 0:00:00:AM,90.22,83,270,,"8,100.00",,,,,,15793
